,id,language
350,15218479,French
351,14798879,French
352,685811,English
353,584994,French
354,38668522,French
355,38653027,French
356,38597961,English
357,38531220,French
358,38503526,English
359,38201309,English
360,37554069,French
361,37339504,English
362,37248391,English
363,37180504,English
364,37109467,English
365,36867316,English
366,36833026,English
367,20006639,French
368,19994746,French
369,19856135,English
370,19762816,French
371,19043129,French
372,18907945,English
373,18731040,French
374,18701527,French
375,18437170,English
376,18382229,English
377,12358531,English
378,12101553,English
379,11981678,English
380,29232310,Italian
381,34378435,French
382,26884008,French
383,26342433,English
384,26145353,English
385,21947218,French
386,8962398,English
387,8853567,English
388,8447735,French
389,7924734,English
390,7867684,English
391,7424026,French
392,7412410,English
393,7300363,French
394,7297424,English
395,36165060,French
396,36098897,English
397,36056338,French
398,27546900,French
399,4741657,French
400,4260583,French
401,4126858,English
402,3546261,French
403,11696689,French
404,11503195,English
405,11338988,English
406,10777269,English
407,9991670,French
408,9806230,French
409,9655384,English
410,9506469,English
411,9445674,English
412,36819971,English
413,36660865,French
414,36028326,French
415,35927913,French
416,35589074,French
417,35418373,French
418,35217456,English
419,35107315,English
420,35088500,English
421,35086153,English
422,34973249,French
423,34433467,French
424,34426853,French
425,34384485,English
426,14755090,
427,100%,
428,14027373,English
429,13831883,French
430,13820483,French
431,39896529,English
432,39555617,French
433,39192119,French
434,39159167,French
435,39134825,French
436,39120669,English
437,39051237,French
438,39041969,English
439,39012454,French
440,38972238,French
441,38971863,French
442,33606588,French
443,33516172,English
444,31196997,English
445,30955048,English
446,30506825,French
447,30365955,English
448,29863460,English
449,29625099,French
450,29385764,English
451,29323625,French
452,29296902,French
453,29233426,French
454,28859359,French
455,28731394,French
456,28589586,French
457,36333223,English
458,36296600,French
459,27323550,French
460,27321828,French
461,19110322,French
462,19082196,French
463,19065991,English
464,18410912,English
465,33658678,French
466,33241860,English
467,33036263,English
468,33001072,French
469,32805490,English
470,32353615,English
471,38474472,French
472,31913254,English
473,31830187,English
474,31687540,English
475,24441152,French
476,24428268,English
477,24277944,English
478,24118994,French
479,24010692,French
480,23800954,English
481,23663538,French
482,23337290,English
483,23010137,English
484,22933728,English
485,22803412,English
486,22432762,French
487,22116566,French
488,13996945,English
489,13967614,French
490,13846620,French
491,5665018,French
492,5657869,English
493,4797344,English
494,4486480,English
495,37145603,French
496,37144151,English
497,36619722,French
498,36475941,French
499,36378104,English
500,36249781,English
501,36233273,French
502,13545224,French
503,13053546,English
504,6985872,French
505,36824773,English
506,27563208,French
507,27219243,French
508,27218533,French
509,27153859,English
510,27096051,English
511,11643940,English
512,11229350,English
513,11155018,French
514,10716513,English
515,10572016,French
516,10517128,French
517,10461807,French
518,1581357,English
519,39355138,English
520,39053027,French
521,38972585,French
522,38955751,English
523,38892937,English
524,38873988,English
525,38533817,English
526,38470169,English
527,37729530,French
528,37577397,English
529,37507779,English
530,37456504,English
531,37410950,English
532,7232928,French
533,6703833,French
534,6599419,English
535,6579498,English
536,6484456,English
537,6265263,English
538,36152085,English
539,36134230,French
540,35900424,English
541,35898741,English
542,35608833,English
543,35531816,English
544,21980514,English
545,21907135,English
546,21883031,French
547,21849103,French
548,21558201,French
549,21391603,English
550,21169648,French
551,20710127,French
552,20676306,English
553,20531222,English
554,20419457,French
555,20241289,English
556,20204589,English
557,20183750,French
558,20180529,French
559,20167840,French
560,14684742,English
561,14386399,French
562,14329182,English
563,14236712,French
564,14074338,French
565,14031775,French
566,18338739,English
567,18239577,French
568,18118944,English
569,18069686,English
570,17874094,English
571,17800220,French
572,17768672,French
573,17342672,French
574,6758922,English
575,6739978,French
576,6701268,English
577,5711437,English
578,5531880,French
579,20553688,French
580,20521815,French
581,20268504,Portuguese
582,20188609,French
583,20182586,German
584,20174468,English
585,6625358,French
586,6520551,French
587,6271520,French
588,5790334,English
589,5745115,English
590,5719236,English
591,5714446,English
592,36907924,French
593,36865579,French
594,26122811,English
595,26092571,French
596,25923429,English
597,25762868,French
598,25655329,English
599,13440412,French
600,9005242,English
601,8736639,French
602,8676378,English
603,8300183,French
604,8008610,French
605,7876767,English
606,7354980,French
607,7344511,French
608,7342858,French
609,7209857,English
610,7125175,English
611,7067193,English
612,7064173,English
613,6998187,French
614,6839008,French
615,6831627,French
616,6798240,French
617,6791512,French
618,19964561,French
619,19889758,French
620,19818405,English
621,19795001,French
622,19604651,French
623,19527885,French
624,19418666,French
625,19304993,English
626,19280011,English
627,19221188,French
628,19116969,English
629,4636355,English
630,3753414,English
631,33765962,English
632,33616761,English
633,33603241,English
634,33516164,English
635,33508432,English
636,33472635,English
637,33422938,French
638,33181204,English
639,3559352,French
640,3496331,French
641,2991143,French
642,2896166,French
643,2829506,English
644,2544394,English
645,2449290,English
646,2375577,English
647,21591180,English
648,21511376,French
649,21444433,French
650,21330456,French
651,21172702,English
652,13109892,English
653,12960358,English
654,12544794,French
655,12098995,English
656,12086068,French
657,11715621,French
658,12826973,English
659,29092560,French
660,28729985,French
661,27915603,English
662,27843422,English
663,27537374,French
664,27465409,French
665,20600671,French
666,20183010,French
667,20039305,French
668,12745662,English
669,10069165,French
670,10054543,English
671,9971956,French
672,9825542,English
673,9674384,French
674,9575112,French
675,9211605,French
676,8946279,English
677,8874628,English
678,8808811,English
679,8549712,English
680,12257692,English
681,12083999,English
682,11915109,English
683,30193293,English
684,30084149,French
685,29534311,French
686,29483285,French
687,29250281,English
688,28832507,English
689,7218494,French
690,7080235,English
691,7050614,French
692,6970901,French
693,6935735,English
694,25474580,English
695,25318817,French
696,25135665,English
697,34265542,English
698,34178639,French
699,34173062,French
700,34085985,French
701,33984533,English
702,33897801,English
703,33815817,French
704,32713350,English
705,32642163,French
706,32630714,English
707,32586974,English
708,32355103,English
709,32333854,French
710,32076045,French
711,31790579,French
712,31666259,English
713,24437658,English
714,24400613,French
715,24361850,English
716,23371685,French
717,22802045,English
718,22596750,French
719,22370352,English
720,13640428,French
721,13599316,English
722,13586130,English
723,13583989,French
724,13524686,French
725,34325117,French
726,34030021,French
727,33936380,French
728,13293685,English
729,13222902,English
730,13033027,English
731,24171283,French
732,23839285,French
733,23805192,English
734,23755701,French
735,23692830,English
736,12719007,French
737,12563702,English
738,3452195,French
739,3332559,English
740,2088558,English
741,2048626,English
742,1692455,English
743,1518745,English
744,1449540,French
745,1277299,English
746,806764,English
747,736874,French
748,17979034,English
749,17969759,English
750,17916570,English
751,17843918,English
752,17682239,French
753,17496562,French
754,6295291,English
755,6197994,French
756,6070709,French
757,5974515,French
758,5714902,French
759,5699532,English
760,11139651,English
761,11086017,French
762,10876807,English
763,9752260,English
764,9585344,English
765,9420012,English
766,9248267,English
767,2077626,French
768,23519132,English
769,23363862,French
770,23288314,English
771,22611834,French
772,22334454,English
773,22256282,English
774,21857522,English
775,21846609,English
776,21405835,English
777,21389478,English
778,21195137,English
779,20893377,English
780,30518246,French
781,30466876,English
782,20656663,English
783,19010530,English
784,18927124,French
785,18663381,English
786,18633461,English
787,18624630,French
788,18385654,French
789,18280558,French
790,17897017,English
791,36202802,English
792,36202565,French
793,36190716,French
794,35816107,English
795,35328214,French
796,35023529,French
797,1213733,English
798,802079,English
799,672826,English
800,566867,English
801,524809,French
802,500114,English
803,270072,English
804,185068,English
805,39937548,French
806,39811784,English
807,39791020,English
808,39780641,English
809,39765131,English
810,39644621,French
811,39361436,French
812,39300522,English
813,34498196,French
814,34405154,French
815,34074007,French
816,34040335,French
817,33109014,French
818,32879260,English
819,32710009,English
820,11329669,English
821,10494989,French
822,10463293,English
823,10070321,English
824,20179465,French
825,19760144,French
826,19670199,French
827,19417862,French
828,19292719,English
829,9808439,English
830,9486445,English
831,9471323,English
832,9442661,English
833,9127857,French
834,6880945,French
835,6353633,French
836,26026091,French
837,25926807,English
838,25596689,French
839,5148247,English
840,4904565,French
841,4657763,French
842,25067921,German
843,24814900,French
844,24246848,English
845,24093042,French
846,23952381,French
847,23899246,French
848,23783440,English
849,23604317,English
850,23099341,French
851,23086509,English
852,22752211,English
853,22543448,French
854,22419080,French
855,22289203,French
856,32609925,English
857,32509885,French
858,32460818,French
859,32178007,French
860,31916264,French
861,21820368,English
862,21799550,French
863,17330573,English
864,16902122,English
865,16696892,French
866,16506335,French
867,16504191,French
868,16144900,French
869,13794099,English
870,27189213,French
871,38594783,English
872,38563696,English
873,38324958,French
874,38277946,English
875,38276984,English
876,38271767,English
877,37924035,English
878,37732760,English
879,37673137,English
880,37618634,English
881,20759802,French
882,20675583,French
883,20601273,French
884,8600407,Italian
885,8415424,
886,100%,
887,8406599,English
888,7829599,English
889,7702983,French
890,7677111,French
891,7671542,French
892,7574063,French
893,7526007,French
894,7489402,English
895,38892185,English
896,38858747,English
897,6666911,English
898,6657869,English
899,6593592,French
900,38793434,French
901,38672824,French
902,16611050,English
903,16531475,French
904,16334584,English
905,16241256,English
906,16214552,English
907,16196397,English
908,16094764,French
909,15771709,French
910,26331724,French
911,26215858,French
912,26175971,English
913,25790954,English
914,25284201,English
915,25039201,English
916,24444902,English
917,24438677,French
918,24348752,French
919,24280742,French
920,15542883,English
921,15535247,English
922,13595464,French
923,13557934,French
924,13430204,French
925,13422013,French
926,13213329,English
927,12721908,French
928,12196140,English
929,11559006,English
930,11549449,French
931,14439663,French
932,14332057,French
933,32464301,French
934,32361924,French
935,31918498,English
936,31710240,French
937,38598916,English
938,38505798,English
939,38485038,French
940,38199696,French
941,13613477,English
942,6460564,English
943,6070807,French
944,6026738,English
945,5811788,Spanish
946,5712679,English
947,5702777,French
948,5256190,English
949,4432878,English
950,4393708,French
951,4337668,English
952,4089442,English
953,3558890,English
954,3517096,English
955,934232,English
956,664836,English
957,609068,English
958,2012962,English
959,39214272,French
960,38807686,English
961,36499933,French
962,36474716,French
